表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,達觀里,1295,1258798,972,671,387,1234,1161.58,119.50
,華城里,963,4808029,4993,1197,552,2533,52970.66,1060.95
,其 他,15,11636,776,486,274,785,879.20,113.34
,合 計,93382,101717711,1089,660,379,1221,6334.01,581.49
石碇區,石碇里,121,72058,596,475,329,737,396.78,66.63
,潭邊里,187,189992,1016,540,315,928,3527.20,347.17
,烏塗里,165,197785,1199,547,379,1055,2517.73,210.04
,豐林里,75,54544,727,478,291,755,1195.33,164.36
,隆盛里,183,116729,638,475,322,779,580.59,91.02
,中民里,178,110652,622,486,344,799,438.90,70.60
,永定里,121,73041,604,514,337,766,378.87,62.76
,光明里,38,25201,663,448,276,796,665.72,100.38
,彭山里,70,44181,631,473,294,705,656.94,104.09
,豐田里,88,58303,663,540,316,788,591.54,89.28
,格頭里,216,156192,723,508,284,863,1020.26,141.09
,永安里,154,89205,579,498,304,742,430.95,74.40
,碧山里,0,0,0,0,0,0,0.00,0.00
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,1596,1187882,744,503,316,814,1580.35,212.33
深坑區,深坑里,932,789188,847,607,358,1053,823.76,97.28
,萬順里,713,560529,786,578,380,1004,646.94,82.29
,阿柔里,157,119892,764,569,374,844,818.56,107.19
,昇高里,571,456381,799,560,339,984,766.66,95.92
,土庫里,886,728990,823,561,337,940,1666.16,202.50
,埔新里,1848,1604611,868,617,355,1118,822.85,94.77
,萬福里,811,743751,917,601,358,981,1940.48,211.59
,賴仲里,687,643131,936,662,408,1163,991.69,105.93
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,6605,5646472,855,600,360,1034,1155.45,135.16
坪林區,坪林里,313,225947,722,534,309,848,800.94,110.95
,水德里,124,81748,659,507,335,768,541.79,82.18
,大林里,236,174243,738,538,307,893,751.97,101.85
,上德里,157,107736,686,512,303,764,879.79,128.21
,漁光里,156,109846,704,546,356,855,511.98,72.71
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,石��里,90,68035,756,582,359,870,727.35,96.22
,粗窟里,200,172716,864,516,331,822,1935.41,224.11
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,1276,940271,737,530,320,841,1020.44,138.48
烏來區,烏來里,569,502303,883,643,383,1004,1385.43,156.94
,忠治里,362,260414,719,544,325,928,604.72,84.06
,孝義里,54,38418,711,530,367,1009,525.99,73.93
,信賢里,97,64626,666,592,353,892,461.58,69.28
,福山里,89,59466,668,527,348,921,457.45,68.46
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,1171,925227,790,599,356,961,1048.25,132.67
板橋區,留侯里,446,413902,928,595,372,1055,1556.95,167.77
,流芳里,465,449998,968,660,340,1246,1151.75,119.01
,赤松里,240,293306,1222,672,371,1309,3963.92,324.35
,黃石里,323,253671,785,554,321,1021,731.90,93.19
,挹秀里,593,682064,1150,691,380,1459,1450.49,126.11
,社後里,1757,1301484,741,555,340,932,652.09,88.03
,新埔里,669,683166,1021,594,350,1091,3249.40,318.20
,江翠里,1399,1337636,956,586,356,1008,1864.86,195.04
,松翠里,1030,874612,849,592,364,1041,846.25,99.66
,嵐翠里,645,477882,741,532,349,865,871.64,117.65
,深丘里,2921,4360802,1493,820,439,1625,2775.01,185.88
,埔墘里,1993,1843050,925,618,361,1112,1532.27,165.69
,港嘴里,1841,1515514,823,581,361,1036,763.01,92.69
,湳興里,1664,1368022,822,603,360,1026,764.52,92.99
,鄉雲里,1199,1137296,949,601,348,1091,1806.89,190.49
,景星里,1101,1063271,966,670,375,1177,1234.94,127.88
,廣福里,1210,1034100,855,606,364,1026,1245.07,145.69
,溪洲里,1795,1407356,784,571,361,929,961.42,122.62
,崑崙里,2876,3291868,1145,608,364,1042,17195.29,1502.30
,浮洲里,990,695399,702,515,323,853,730.50,104.00
,中正里,1259,954794,758,562,358,969,693.95,91.51
,中山里,950,630492,664,506,337,792,731.03,110.15
,復興里,230,149683,651,533,336,776,598.97,92.04
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
自強里,,1905,1860196,976,674,390,1190,1394.78,142.84
國光里,,1252,1317093,1052,731,408,1354,1048.35,99.65
新興里,,929,754193,812,617,356,1007,816.04,100.52
福德里,,1602,1506023,940,640,377,1147,1418.59,150.90
和平里,,1315,1573590,1197,915,480,1598,1125.30,94.04
仁愛里,,1010,790311,782,570,342,998,829.05,105.95
福星里,,1170,1159253,991,688,406,1232,1038.36,104.80
公館里,,1159,922779,796,568,339,975,765.86,96.19
新民里,,1346,1218899,906,633,358,1139,960.67,106.08
振興里,,1317,997202,757,535,341,930,742.59,98.07
光復里,,964,953870,989,630,383,1076,3079.14,311.18
香丘里,,1177,1042469,886,597,355,1032,1928.48,217.74
雙玉里,,1060,887338,837,596,350,1073,766.49,91.56
福壽里,,1090,1152633,1057,632,351,1092,2067.90,195.55
玉光里,,1546,1272285,823,599,372,966,945.50,114.89
港尾里,,974,983875,1010,643,389,1258,1515.80,150.06
民權里,,805,668319,830,562,342,1033,856.26,103.14
建國里,,1025,746510,728,560,356,910,608.85,83.60
百壽里,,631,531189,842,598,363,1060,840.14,99.80
忠誠里,,1313,1328439,1012,673,389,1345,1266.73,125.20
幸福里,,1131,820291,725,560,362,877,608.24,83.86
漢生里,,1418,1482368,1045,633,376,1156,2097.43,200.64
聯翠里,,1261,1514918,1201,737,380,1379,1840.77,153.22
宏翠里,,1572,1380043,878,621,377,1078,930.17,105.95
華翠里,,1155,1047676,907,618,370,1144,913.88,100.75
福翠里,,365,243490,667,497,347,806,574.95,86.19
九如里,,785,631743,805,567,350,967,921.08,114.45
埤墘里,,1218,1144248,939,630,388,1140,1032.19,109.87
廣新里,,887,638008,719,568,364,897,596.68,82.95
福丘里,,1729,3531288,2042,964,447,2040,5952.66,291.46
廣德里,,2139,2012258,941,647,376,1151,1265.74,134.55
福祿里,,1207,1095653,908,673,378,1214,891.57,98.22
華興里,,1312,1187076,905,658,378,1173,814.82,90.06
聚安里,,1509,1071217,710,548,348,873,618.56,87.14
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
龍翠里,,1591,1563514,983,624,374,1168,1291.66,131.44
柏翠里,,1230,1339976,1089,661,395,1220,1632.65,149.86
文翠里,,1276,1109061,869,588,361,989,1281.48,147.44
青翠里,,831,604678,728,542,347,874,670.49,92.14
香社里,,1260,971557,771,589,364,948,695.29,90.17
大安里,,1128,829587,735,542,368,854,966.05,131.35
東丘里,,1322,1169119,884,608,371,1068,910.92,103.00
華德里,,2259,2114083,936,675,409,1135,929.19,99.29
國泰里,,1114,1074108,964,674,387,1281,928.08,96.25
光華里,,928,831812,896,603,335,1054,1291.19,144.05
自立里,,808,581083,719,588,365,903,588.47,81.83
重慶里,,2704,2213631,819,601,363,1051,788.17,96.28
港德里,,1381,1071504,776,567,344,929,759.60,97.90
忠翠里,,3397,4861041,1431,873,458,1769,2328.25,162.70
明翠里,,1385,1065334,769,558,330,936,747.47,97.18
滿翠里,,803,542447,676,518,324,846,581.07,86.02
新翠里,,2553,2405228,942,663,396,1153,1261.00,133.85
溪頭里,,1749,1528355,874,590,373,1061,1049.62,120.12
華江里,,2355,2794664,1187,754,396,1463,1631.20,137.46
海山里,,2348,2568275,1094,680,399,1320,1456.34,133.14
大豐里,,1417,1136487,802,565,352,996,870.79,108.57
吉翠里,,1008,694117,689,523,320,862,628.48,91.27
民族里,,1409,1469914,1043,695,384,1290,1154.65,110.68
信義里,,1212,953515,787,571,346,936,838.74,106.61
純翠里,,1666,1369017,822,601,350,1046,794.03,96.63
長壽里,,864,647328,749,556,351,978,618.21,82.51
振義里,,1132,912350,806,588,365,1006,808.79,100.35
西安里,,776,672036,866,607,372,1032,944.84,109.10
光仁里,,884,638361,722,548,321,893,671.34,92.97
介壽里,,916,742382,810,573,353,989,769.86,94.99
仁翠里,,798,520939,653,514,325,839,493.85,75.65
永安里,,1036,911000,879,599,371,1099,977.82,111.20
懷翠里,,1680,1299286,773,541,352,966,702.52,90.84
長安里,,1380,1274905,924,644,383,1174,1034.88,112.02
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
德翠里,,2252,2007437,891,646,393,1161,765.54,85.88
溪北里,,1043,816109,782,547,344,984,838.33,107.14
華中里,,1493,937223,628,503,334,785,481.50,76.70
僑中里,,1135,736539,649,526,334,804,567.01,87.38
金華里,,1154,834285,723,535,358,869,682.37,94.39
華貴里,,786,565969,720,557,346,892,575.26,79.89
華東里,,2599,3081080,1185,751,397,1438,2069.27,174.55
福安里,,766,507959,663,512,335,841,557.06,84.00
龍安里,,716,450680,629,524,335,789,490.49,77.92
香雅里,,801,604123,754,559,365,918,669.65,88.79
光榮里,,791,636351,804,584,354,987,734.14,91.26
新生里,,1354,1000402,739,571,366,919,601.33,81.39
民安里,,682,540914,793,569,318,981,762.30,96.11
後埔里,,1285,1627248,1266,679,396,1310,5998.67,473.70
五權里,,1173,875882,747,554,365,900,661.94,88.65
華福里,,665,551571,829,587,342,1107,784.81,94.62
大觀里,,1087,722467,665,535,349,816,567.66,85.41
歡園里,,354,230394,651,534,344,796,500.19,76.85
成和里,,1902,1549726,815,609,371,1045,682.57,83.77
溪福里,,4084,3533682,865,626,373,1124,988.43,114.24
堂春里,,1242,919170,740,557,347,891,686.16,92.72
文德里,,961,893501,930,616,369,1165,946.57,101.81
陽明里,,887,738642,833,581,360,970,898.17,107.86
文化里,,994,973174,979,603,359,1126,1374.55,140.40
朝陽里,,953,678962,712,540,352,857,613.51,86.11
新海里,,1022,661441,647,522,346,826,517.75,80.00
松柏里,,682,587604,862,595,343,1045,946.07,109.80
莒光里,,908,863480,951,640,396,1169,999.01,105.05
文聖里,,1173,1032718,880,603,380,1089,897.50,101.94
富貴里,,755,827821,1096,647,372,1271,1807.75,164.87
居仁里,,1021,814727,798,587,350,1004,701.40,87.90
正泰里,,986,770063,781,585,358,996,677.13,86.70
莊敬里,,1327,1505618,1135,815,430,1491,1281.16,112.92
民生里,,716,659738,921,657,383,1080,1021.64,110.88
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,東安里,710,532186,750,559,340,942,642.10,85.66
,其 他,8,4163,520,380,304,663,304.84,58.58
,合 計,157941,144439855,915,610,366,1082,2746.66,300.34
三峽區,三峽里,84,62435,743,601,350,968,625.90,84.21
,秀川里,170,114854,676,539,332,849,544.27,80.56
,八張里,985,717726,729,546,347,862,823.42,113.00
,中埔里,677,464662,686,549,333,923,511.86,74.58
,礁溪里,1492,1084483,727,542,330,904,650.92,89.55
,永館里,2023,1619575,801,581,344,998,874.19,109.19
,鳶山里,2608,2057273,789,552,345,946,880.80,111.66
,龍埔里,2407,1868088,776,573,345,992,717.54,92.45
,弘道里,291,194784,669,507,332,841,606.51,90.61
,大埔里,1058,801149,757,581,342,1006,638.44,84.31
,嘉添里,534,405838,760,525,314,866,991.26,130.43
,添福里,302,198327,657,487,337,805,643.88,98.05
,溪南里,374,281382,752,498,305,815,836.40,111.17
,溪北里,560,353815,632,510,306,764,507.35,80.30
,溪東里,822,547405,666,514,337,802,593.20,89.08
,成福里,234,150464,643,536,347,712,619.32,96.32
,安坑里,292,184223,631,511,295,773,504.26,79.93
,竹崙里,426,400823,941,472,312,777,4844.68,514.90
,金圳里,106,61775,583,460,298,685,474.41,81.40
,五寮里,152,86815,571,445,283,690,511.82,89.61
,插角里,147,103278,703,535,342,901,587.16,83.57
,有木里,106,85497,807,468,327,811,1625.59,201.54
,安溪里,1965,1567186,798,563,334,975,1784.42,223.74
,中正里,1245,843935,678,520,332,879,560.58,82.70
,介壽里,1571,1006086,640,494,333,798,488.64,76.30
,二鬮里,903,639795,709,532,334,863,736.50,103.95
,龍恩里,1700,1907736,1122,832,449,1506,1037.70,92.47
,龍學里,4401,5485444,1246,867,460,1525,2534.16,203.32
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,27635,23294854,843,587,350,1022,1443.07,171.19
鶯歌區,東鶯里,274,214397,782,584,355,1017,777.03,99.30
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,西鶯里,727,552839,760,544,338,912,776.60,102.13
,南鶯里,1653,1374580,832,583,359,1008,913.97,109.91
,北鶯里,1235,1205311,976,678,408,1216,1387.23,142.14
,中鶯里,286,222797,779,569,336,1022,707.05,90.76
,建德里,128,85711,670,537,326,843,496.47,74.14
,同慶里,502,414123,825,541,327,982,1104.27,133.86
,南靖里,997,697696,700,535,323,860,712.25,101.78
,尖山里,2034,1445634,711,537,347,890,636.40,89.54
,二橋里,2079,1508121,725,554,352,931,595.08,82.03
,二甲里,245,165335,675,503,334,878,535.29,79.32
,東湖里,73,55693,763,513,404,827,785.97,103.02
,中湖里,1637,1060671,648,511,332,789,593.32,91.57
,鳳鳴里,1365,934362,685,531,357,835,664.44,97.07
,永昌里,2504,1850476,739,550,354,906,714.85,96.73
,永吉里,1500,959519,640,505,339,789,509.57,79.66
,鳳福里,1212,781294,645,507,336,792,696.24,108.01
,大湖里,1592,1154759,725,540,351,864,760.17,104.80
,建國里,1880,1339443,712,542,347,887,917.34,128.76
,鳳祥里,1393,929111,667,517,345,833,548.97,82.31
,其 他,1,292,292,292,292,292,0.00,0.00
,合 計,23317,16952164,727,541,348,891,769.81,105.88
樹林區,樹東里,357,288374,808,542,306,941,1079.89,133.69
,彭厝里,1510,1043020,691,533,329,872,566.89,82.07
,樹西里,1685,1646556,977,617,352,1164,2112.74,216.21
,坡內里,444,288919,651,467,306,755,646.30,99.32
,樹北里,283,257175,909,627,385,1090,1178.46,129.68
,潭底里,1212,893634,737,538,331,895,798.48,108.30
,�寮里,1352,925766,685,529,335,853,585.98,85.58
,三多里,1226,773874,631,498,315,797,547.51,86.74
,東山里,1024,758960,741,488,323,804,2054.06,277.14
,西山里,4,2778,694,671,374,992,377.95,54.43
,樂山里,409,326730,799,521,338,856,1216.83,152.32
,東園里,449,344224,767,536,340,916,801.27,104.52
,西園里,490,331561,677,498,321,813,606.72,89.67
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,南園里,4460,5334697,1196,832,447,1481,1450.03,121.23
,北園里,632,446200,706,517,312,841,739.77,104.78
,柑園里,2887,3693026,1279,842,446,1532,2432.30,190.14
,樹南里,1303,1068556,820,587,353,997,827.94,100.96
,樹德里,1091,961328,881,554,358,951,2958.19,335.72
,樹人里,1038,875894,844,554,345,962,1485.93,176.09
,保安里,1915,1512935,790,572,349,980,752.84,95.29
,三福里,1094,719620,658,500,315,835,573.53,87.19
,三興里,1136,691730,609,506,322,768,467.11,76.71
,大同里,1008,826141,820,593,362,1065,744.55,90.85
,彭福里,1495,1157831,774,564,357,932,920.06,118.80
,東陽里,1732,1248073,721,546,330,913,791.75,109.87
,東昇里,1498,1137980,760,564,342,913,1113.26,146.55
,和平里,1136,740606,652,513,328,817,530.27,81.34
,圳福里,1304,871629,668,517,331,829,572.88,85.71
,圳安里,1080,750011,694,554,338,882,686.74,98.89
,樹興里,1105,878098,795,565,362,970,837.34,105.37
,彭興里,1622,1034625,638,516,329,801,479.70,75.20
,文林里,1549,1217666,786,593,369,978,710.47,90.38
,光興里,1080,707197,655,521,336,819,510.23,77.92
,金寮里,1227,850038,693,546,353,860,559.43,80.75
,中山里,1432,1085114,758,572,352,964,643.86,84.97
,山佳里,1688,1217736,721,561,344,868,640.77,88.82
,育英里,944,799889,847,608,376,1041,813.96,96.06
,樹福里,1215,1286226,1059,689,380,1266,1314.24,124.15
,中華里,993,693185,698,540,339,915,537.90,77.06
,太順里,804,509797,634,506,331,786,571.62,90.15
,圳民里,838,590166,704,536,341,866,778.17,110.50
,圳生里,633,466879,738,493,312,753,2506.07,339.78
,三龍里,717,481047,671,505,308,884,585.81,87.31
,其 他,3,1630,543,407,402,617,245.55,45.20
,合 計,51104,41737121,817,573,348,978,1227.26,150.27
中和區,中原里,1697,1683277,992,646,372,1194,1413.07,142.46
,平河里,2937,2715297,925,656,387,1164,1105.22,119.55
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
力行里,,2010,1943405,967,690,397,1278,905.45,93.65
枋寮里,,1144,994899,870,605,363,1073,837.47,96.30
廟美里,,1384,1235293,893,588,371,1009,3612.36,404.72
瓦�里,,1640,1511341,922,636,389,1096,1395.12,151.39
積穗里,,2718,2468203,908,652,397,1110,907.16,99.90
瑞穗里,,737,590598,801,622,379,1031,667.08,83.24
灰�里,,193,146667,760,535,339,1000,674.06,88.70
錦和里,,1685,1669797,991,661,411,1150,1404.58,141.74
內南里,,1482,1133607,765,549,366,898,934.41,122.16
外南里,,1390,1142380,822,594,353,1024,871.57,106.05
頂南里,,952,809852,851,626,396,1047,773.02,90.87
橫路里,,87,55134,634,524,314,787,487.81,76.97
連和里,,872,848573,973,711,393,1202,1144.80,117.64
漳和里,,1166,1391256,1193,639,381,1168,4846.67,406.20
秀山里,,1431,1182434,826,605,371,1011,801.11,96.95
員山里,,1967,1821834,926,639,376,1157,1877.79,202.74
安樂里,,1243,1419221,1142,772,412,1472,1184.67,103.76
壽德里,,1345,1171770,871,666,395,1128,779.81,89.51
新南里,,2795,2948085,1055,750,419,1394,1031.50,97.79
崇南里,,1315,1182912,900,659,387,1122,848.10,94.28
東南里,,1246,982093,788,595,351,986,695.79,88.28
秀明里,,1628,1564535,961,678,381,1182,1327.37,138.12
安平里,,2035,2354360,1157,749,398,1495,1372.79,118.66
景平里,,1866,1745215,935,637,368,1137,1079.40,115.41
嘉穗里,,862,618886,718,547,343,870,697.16,97.10
景安里,,1580,1375856,871,616,369,1100,849.09,97.51
連城里,,2017,1855833,920,646,385,1167,1160.50,126.13
福美里,,1342,1008594,752,546,346,911,1056.13,140.53
安和里,,1119,1178353,1053,674,381,1296,1323.55,125.69
中安里,,1638,1823497,1113,754,394,1397,1264.83,113.62
泰安里,,1103,1029709,934,590,355,997,1742.02,186.60
華南里,,1624,1574678,970,642,389,1128,1296.35,133.70
秀峰里,,1419,1222114,861,623,346,1078,1000.77,116.20
秀水里,,1073,775119,722,558,347,890,637.82,88.29
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
景南里,,963,836689,869,559,363,961,1514.06,174.26
復興里,,1581,1224562,775,578,347,955,732.22,94.53
和興里,,1402,1344383,959,642,388,1141,1262.15,131.62
南山里,,1806,1937545,1073,706,406,1333,1594.37,148.61
景新里,,1099,885825,806,595,371,991,695.58,86.30
景福里,,1781,1604209,901,616,370,1078,1041.85,115.67
清穗里,,938,695745,742,590,361,938,610.15,82.26
佳和里,,1484,1330257,896,618,361,1067,1378.06,153.73
德穗里,,1353,1198128,886,598,359,1031,1276.92,144.20
嘉新里,,1163,850061,731,563,357,892,708.67,96.96
建和里,,1064,835429,785,561,342,968,836.59,106.55
仁和里,,1275,917870,720,552,338,905,635.27,88.24
秀景里,,2113,2046196,968,670,391,1259,928.17,95.85
中正里,,1205,858916,713,532,350,893,611.80,85.83
福善里,,1354,1080621,798,577,364,976,797.17,99.88
福真里,,1265,1018546,805,581,356,967,840.93,104.44
秀仁里,,1070,1002353,937,701,388,1241,804.22,85.85
忠孝里,,1433,1055496,737,572,356,913,650.35,88.30
民享里,,818,588683,720,543,371,901,583.00,81.01
民生里,,1351,1147720,850,646,391,1077,718.67,84.60
國光里,,1172,963659,822,627,367,1055,756.81,92.04
福和里,,1141,1080677,947,577,361,985,4441.79,468.97
秀成里,,1156,1019241,882,596,373,1036,966.30,109.60
秀福里,,1608,1541154,958,645,375,1154,1091.97,113.93
華新里,,2214,1818653,821,635,385,1064,692.89,84.35
壽南里,,666,519300,780,569,345,977,715.59,91.77
文元里,,1652,1165994,706,550,336,873,588.21,83.34
明德里,,1149,824911,718,562,345,921,641.45,89.35
信和里,,1104,833435,755,551,338,949,697.63,92.41
福祥里,,1513,1247214,824,590,356,994,1006.16,122.06
景文里,,1087,1080711,994,665,373,1245,1112.63,111.91
錦昌里,,670,725571,1083,691,387,1277,1469.78,135.72
民安里,,1507,1152348,765,578,361,978,634.61,82.99
安穗里,,1398,1154389,826,601,374,1037,821.65,99.50
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,明穗里,1541,1274216,827,602,366,1015,803.62,97.19
,自強里,1548,1320474,853,561,346,912,5168.81,605.94
,正行里,992,906131,913,639,395,1087,1321.39,144.66
,德行里,2315,2569238,1110,763,427,1371,1314.78,118.47
,安順里,1481,1480268,1000,662,382,1199,1353.26,135.39
,宜安里,620,579487,935,646,366,1149,1036.94,110.94
,秀義里,826,755678,915,629,375,1085,1139.39,124.54
,秀士里,707,640538,906,649,381,1209,812.64,89.70
,興南里,930,705924,759,558,340,954,794.93,104.73
,景本里,614,472295,769,546,339,978,803.66,104.48
,中興里,2266,2368453,1045,753,425,1330,1450.15,138.74
,吉興里,1038,1027241,990,694,410,1267,993.02,100.34
,福南里,1289,1058961,822,591,363,1000,917.83,111.72
,正南里,989,682308,690,537,351,832,593.97,86.10
,錦盛里,1120,827893,739,561,352,897,757.33,102.45
,中山里,877,723502,825,617,375,1039,839.93,101.81
,冠穗里,1099,943044,858,568,361,990,1548.19,180.42
,嘉慶里,1203,876305,728,559,344,918,636.25,87.34
,錦中里,1176,946293,805,565,334,1007,849.17,105.53
,員富里,995,739318,743,580,359,928,660.57,88.90
,民有里,869,642318,739,544,343,849,756.56,102.36
,碧河里,1367,1283266,939,651,372,1194,1116.34,118.92
,國華里,983,762730,776,599,386,988,621.66,80.12
,其 他,9,6459,718,467,341,1180,603.72,84.12
,合 計,124151,110353506,889,621,371,1084,1396.51,157.11
土城區,埤塘里,1032,755964,733,537,332,914,848.18,115.79
,土城里,578,425098,735,501,315,874,817.37,111.14
,員林里,1761,1439766,818,583,351,987,936.05,114.49
,貨饒里,1250,891721,713,545,353,867,667.25,93.53
,柑林里,961,877223,913,655,374,1175,794.30,87.02
,埤林里,2727,2465357,904,663,388,1139,806.99,89.26
,峰廷里,2015,1347757,669,516,337,839,598.81,89.53
,廷寮里,1302,957908,736,562,351,933,717.38,97.51
,清水里,2292,1665179,727,549,348,925,626.46,86.23
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
清化里,,423,406809,962,536,332,835,4971.46,516.93
大安里,,1423,1105141,777,546,337,940,952.49,122.64
永寧里,,2449,1860243,760,566,358,958,685.20,90.21
祖田里,,423,262339,620,479,321,781,506.51,81.67
頂埔里,,1430,1163922,814,543,353,903,2210.04,271.53
沛陂里,,1377,1105084,803,559,341,934,2080.89,259.29
頂新里,,845,804492,952,730,419,1217,856.02,89.91
長風里,,639,587881,920,660,394,1214,1019.31,110.79
頂福里,,1403,937030,668,517,338,839,601.80,90.11
